created_at,count
24.10.2020,182
23.10.2020,223
22.10.2020,221
21.10.2020,187
20.10.2020,169
19.10.2020,152
18.10.2020,172
17.10.2020,146
16.10.2020,74
15.10.2020,79
14.10.2020,60
13.10.2020,50
12.10.2020,44
11.10.2020,38
10.10.2020,41
09.10.2020,61
08.10.2020,41
07.10.2020,21
06.10.2020,16
05.10.2020,14
04.10.2020,11
03.10.2020,37
02.10.2020,23
01.10.2020,22
30.09.2020,14
29.09.2020,12
28.09.2020,9
27.09.2020,14
26.09.2020,4
25.09.2020,14
